"idgames","user_score","global_sales"
2666,5.2,0.6
2770,5.2,0.57
2987,5.2,0.52
3369,5.2,0.44
3421,5.2,0.44
3475,5.2,0.43
3718,5.2,0.39
3719,5.2,0.39
3848,5.2,0.37
4011,5.2,0.34
4164,5.2,0.32
4273,5.2,0.31
4399,5.2,0.29
4478,5.2,0.29
4538,5.2,0.28
4816,5.2,0.25
4978,5.2,0.24
4999,5.2,0.24
5093,5.2,0.23
5098,5.2,0.23
5191,5.2,0.22
5304,5.2,0.21
5848,5.2,0.18
5935,5.2,0.17
5972,5.2,0.17
6079,5.2,0.16
6104,5.2,0.16
6200,5.2,0.15
6420,5.2,0.14
6488,5.2,0.14
6788,5.2,0.12
7020,5.2,0.11
7115,5.2,0.11
7131,5.2,0.11
7238,5.2,0.11
7432,5.2,0.1
7543,5.2,0.09
7725,5.2,0.09
7907,5.2,0.08
8087,5.2,0.07
8650,5.2,0.05
9343,5.2,0.03
9457,5.2,0.03
9532,5.2,0.03
9533,5.2,0.03
10108,5.2,0.02
10125,5.2,0.01
34,5.3,13.79
501,5.3,2.89
1035,5.3,1.7
1498,5.3,1.17
1709,5.3,1.02
1768,5.3,0.97
2027,5.3,0.84
2051,5.3,0.83
2117,5.3,0.79
2118,5.3,0.79
2554,5.3,0.63
2619,5.3,0.61
2752,5.3,0.57
2781,5.3,0.57
2854,5.3,0.55
2993,5.3,0.52
3138,5.3,0.49
3196,5.3,0.48
3210,5.3,0.47
3375,5.3,0.44
3434,5.3,0.43
3570,5.3,0.41
3688,5.3,0.39
3707,5.3,0.39
3713,5.3,0.39
3929,5.3,0.36
3956,5.3,0.35
4058,5.3,0.34
4313,5.3,0.31
4354,5.3,0.3
4358,5.3,0.3
4632,5.3,0.27
4915,5.3,0.25
4967,5.3,0.24
5345,5.3,0.21
5412,5.3,0.2
5417,5.3,0.2
5439,5.3,0.2
5590,5.3,0.19
5680,5.3,0.19
5784,5.3,0.18
5811,5.3,0.18
5906,5.3,0.17
6093,5.3,0.16
6137,5.3,0.16
6389,5.3,0.14
6471,5.3,0.14
7096,5.3,0.11
7099,5.3,0.11
7102,5.3,0.11
7139,5.3,0.11
7263,5.3,0.1
7320,5.3,0.1
7371,5.3,0.1
7496,5.3,0.1
7679,5.3,0.09
7684,5.3,0.09
7966,5.3,0.08
8026,5.3,0.08
8076,5.3,0.07
8129,5.3,0.07
8484,5.3,0.06
8950,5.3,0.05
8977,5.3,0.05
9505,5.3,0.03
9649,5.3,0.03
9704,5.3,0.02
9841,5.3,0.02
10083,5.3,0.02
10212,5.3,0.01
179,5.4,5.27
222,5.4,4.76
449,5.4,3.1
616,5.4,2.5
754,5.4,2.18
1020,5.4,1.72
1125,5.4,1.57
1359,5.4,1.29
1466,5.4,1.2
1517,5.4,1.15
1757,5.4,0.98
1878,5.4,0.91
2121,5.4,0.79
2296,5.4,0.72
2368,5.4,0.69
2621,5.4,0.61
2825,5.4,0.56
2966,5.4,0.53
3282,5.4,0.46
3450,5.4,0.43
3485,5.4,0.42
3499,5.4,0.42
3744,5.4,0.39
3768,5.4,0.38
3933,5.4,0.36
4073,5.4,0.33
4106,5.4,0.33
4123,5.4,0.33
4232,5.4,0.32
4397,5.4,0.29
4421,5.4,0.29
4463,5.4,0.29
4609,5.4,0.27
4628,5.4,0.27
4884,5.4,0.25
4980,5.4,0.24
5021,5.4,0.24
5033,5.4,0.24
5137,5.4,0.23
5161,5.4,0.22
5194,5.4,0.22
5237,5.4,0.22
5413,5.4,0.2
5753,5.4,0.18
5940,5.4,0.17
6195,5.4,0.15
6334,5.4,0.15
6335,5.4,0.15
6347,5.4,0.15
6405,5.4,0.14
6436,5.4,0.14
6472,5.4,0.14
6872,5.4,0.12
7019,5.4,0.11
7071,5.4,0.11
7601,5.4,0.09
7814,5.4,0.08
7901,5.4,0.08
8012,5.4,0.08
8055,5.4,0.08
8198,5.4,0.07
8257,5.4,0.07
8396,5.4,0.06
8444,5.4,0.06
8856,5.4,0.05
9373,5.4,0.03
9407,5.4,0.03
9443,5.4,0.03
9708,5.4,0.02
9790,5.4,0.02
9887,5.4,0.02
10045,5.4,0.02
398,5.5,3.37
571,5.5,2.65
604,5.5,2.56
669,5.5,2.37
713,5.5,2.25
829,5.5,2.05
1190,5.5,1.48
1235,5.5,1.42
1426,5.5,1.23
1599,5.5,1.09
1777,5.5,0.97
1841,5.5,0.93
1931,5.5,0.89
1955,5.5,0.88
2332,5.5,0.7
2508,5.5,0.64
2555,5.5,0.63
2593,5.5,0.61
3028,5.5,0.51
3126,5.5,0.49
3176,5.5,0.48
3269,5.5,0.46
3438,5.5,0.43
3555,5.5,0.41
3853,5.5,0.37
3858,5.5,0.37
3888,5.5,0.36
3927,5.5,0.36
4236,5.5,0.32
4244,5.5,0.32
4341,5.5,0.3
4380,5.5,0.3
4460,5.5,0.29
4661,5.5,0.27
4742,5.5,0.26
4936,5.5,0.24
4948,5.5,0.24
4949,5.5,0.24
5019,5.5,0.24
5103,5.5,0.23
5145,5.5,0.23
5384,5.5,0.21
5395,5.5,0.21
5732,5.5,0.18
5779,5.5,0.18
5843,5.5,0.18
6161,5.5,0.16
6424,5.5,0.14
6480,5.5,0.14
6655,5.5,0.13
6669,5.5,0.13
7446,5.5,0.1
7464,5.5,0.1
7556,5.5,0.09
7729,5.5,0.09
8085,5.5,0.07
8112,5.5,0.07
8379,5.5,0.06
8665,5.5,0.05
8702,5.5,0.05
8752,5.5,0.05
8904,5.5,0.05
9117,5.5,0.04
9179,5.5,0.04
9684,5.5,0.02
9773,5.5,0.02
9782,5.5,0.02
10179,5.5,0.01
10277,5.5,0.01
10288,5.5,0.01
10293,5.5,0.01
380,5.6,3.48
537,5.6,2.78
690,5.6,2.3
724,5.6,2.23
800,5.6,2.08
1627,5.6,1.07
1640,5.6,1.06
1852,5.6,0.93
2680,5.6,0.59
2882,5.6,0.54
3066,5.6,0.51
3128,5.6,0.49
3175,5.6,0.48
3244,5.6,0.47
3296,5.6,0.46
3380,5.6,0.44
3620,5.6,0.4
3725,5.6,0.39
3980,5.6,0.35
4005,5.6,0.34
4157,5.6,0.32
4245,5.6,0.32
4246,5.6,0.32
4291,5.6,0.31
4402,5.6,0.29
4412,5.6,0.29
4505,5.6,0.28
4574,5.6,0.28
4681,5.6,0.27
4709,5.6,0.26
4825,5.6,0.25
5045,5.6,0.23
5096,5.6,0.23
5165,5.6,0.22
5180,5.6,0.22
5199,5.6,0.22
5207,5.6,0.22
5216,5.6,0.22
5220,5.6,0.22
5228,5.6,0.22
5279,5.6,0.21
5497,5.6,0.2
5602,5.6,0.19
5667,5.6,0.19
5743,5.6,0.18
5856,5.6,0.18
5923,5.6,0.17
5966,5.6,0.17
6373,5.6,0.14
6623,5.6,0.13
6663,5.6,0.13
6709,5.6,0.13
6917,5.6,0.12
7103,5.6,0.11
7191,5.6,0.11
7204,5.6,0.11
7323,5.6,0.1
7534,5.6,0.09
7664,5.6,0.09
7747,5.6,0.09
7867,5.6,0.08
7910,5.6,0.08
7929,5.6,0.08
8189,5.6,0.07
8201,5.6,0.07
8221,5.6,0.07
8246,5.6,0.07
8322,5.6,0.07
8421,5.6,0.06
8600,5.6,0.06
9095,5.6,0.04
10029,5.6,0.02
92,5.7,7.66
143,5.7,6.08
561,5.7,2.69
717,5.7,2.24
855,5.7,2.0
1000,5.7,1.76
1136,5.7,1.56
1140,5.7,1.55
1224,5.7,1.43
1326,5.7,1.32
1586,5.7,1.09
1887,5.7,0.91
1903,5.7,0.9
1905,5.7,0.9
2223,5.7,0.74
2522,5.7,0.64
2683,5.7,0.59
2707,5.7,0.58
2742,5.7,0.57
2767,5.7,0.57
2897,5.7,0.54
3167,5.7,0.48
3478,5.7,0.43
3588,5.7,0.41
3615,5.7,0.41
3633,5.7,0.4
3647,5.7,0.4
3702,5.7,0.39
3767,5.7,0.38
3876,5.7,0.37
4138,5.7,0.33
4150,5.7,0.32
