,developer
926,Secret Stash Games
927,GungHo
928,Beyond Reality
929,Fall Line Studio
930,SoftMax
931,Bit Town
932,Phoenix Entertainment
933,Career Soft
934,Ubisoft Sao Paulo
935,Stealth Studios
936,Mobius Entertainment
937,Pseudo Interactive
938,Rhino Studios
939,Ivory Tower
940,Backbone Vancouver
941,Irem
942,Kodiak Interactive
943,Digital Fiction
944,MASA Group
945,Classic Media Distribution Limited
946,Swordfish Studios
947,ThatGameCompany
948,Creative Patterns
949,Osiris Studios
950,"Deep Silver, Sproing Interactive Media, Sproing"
951,Gunnar Games
952,2XL Games
953,Super X Studios
954,"Jellyvision, Iron Galaxy Studios"
955,Bongfish
956,Cranky Pants Games
957,Sun-Tec
958,Alpha Unit
959,Gimagin Games
960,"Sanzaru Games, Sanzaru Games, Inc."
961,CCP
962,Hitmaker
963,"SCEA, Think and Feel"
964,"MicroProse, n-Space"
965,Studio Saizensen
966,Ubisoft Annecy
967,Pyro Studios
968,WideScreen Games
969,Gaming Minds Studios
970,"Omega Force, Koei Canada"
971,Aspyr
972,Cauldron Ltd.
973,"Sega, Tom Create"
974,Mad Catz
975,Examu
976,Merscom LLC
977,Vivendi Games
978,RFX Interactive
979,FeelPlus
980,Spiders
981,GCP1
982,Nordcurrent
983,Zono Inc.
984,Software Creations
985,Pixel Tales
986,Magic Rings
987,"Artificial Mind and Movement, EA Redwood Shores"
988,Santa Cruz Games
989,Seta Corporation
990,BottleRocket Entertainment
991,Skip Ltd.
992,SME Dynamic Systems Limited
993,Game Sauce
994,Cinemaware
995,Games Farm
996,"Ubisoft, Ludia Inc."
997,Tecmo Koei Canada
998,Spellbound
999,Buena Vista Games
1000,Independent Arts
1001,Panic Button
1002,Jack of All Games
1003,Escape
1004,Mad Doc Software
1005,Kronos Digital Entertainment
1006,Coyote Developments
1007,5pb
1008,NaturalMotion
1009,Hydravision
1010,Marvelous Inc.
1011,Big Ant Studios
1012,Performance Designed Products
1013,Backbone Emeryville
1014,"Gust, Idea Factory"
1015,Lost Toys
1016,UFO Interactive
1017,OneNine Studios
1018,Gogii Games
1019,"Eighting, Takara Tomy"
1020,Bitmap Brothers
1021,Koei Tecmo Games
1022,"Replay Studios, ML Enterprises"
1023,"Namco Bandai Games, Cellius"
1024,Magellan Interactive
1025,SimBin
1026,Swingin' Ape
1027,Funcom
1028,Konami Computer Entertainment Nagoya
1029,Joindots
1030,Jaleco Entertainment
1031,Deep Silver
1032,EKO Software
1033,"Playlogic, The Game Factory"
1034,Experience Inc.
1035,Human Entertainment
1036,Kemco
1037,Kylotonn
1038,Stalker Entertainment
1039,Renegade Kid
1040,Eiconic Games
1041,DMi Games
1042,"Blitz Games, Human Soft"
1043,Game Life
1044,Cyanide
1045,"Buddiez, Inc."
1046,Lucas Learning
1047,"Amaze Entertainment, Walt Disney Japan"
1048,"Sega, French-Bread"
1049,FireFly Studios
1050,"Asmik Ace Entertainment, Inc"
1051,WinkySoft
1052,"Gearbox Software, WayForward"
1053,Ludia
1054,Darkworks
1055,Hudson Entertainment
1056,Namco Bandai Games America
1057,"Omiya Soft, Jamsworks"
1058,10tacle Studios
1059,"Disney Interactive Studios, Land Ho!"
1060,Lexis Numerique
1061,"Atari, Transmission Games, Atari SA"
1062,System 3
1063,eGames
1064,"Sony Online Entertainment, Mind Control Software"
1065,Carbine Studios
1066,Tenky
1067,N-Fusion Interactive Entertainment Corp.
1068,Taniko
1069,"Compile Heart, GCREST"
1070,Broadsword Interactive
1071,"Game Arts, Seta Corporation"
1072,Aqua Plus
1073,Croteam
1074,Zombie
1075,Le Cortex
1076,The Game Factory
1077,THQ Australia
1078,Ubisoft Nagoya
1079,Hypnos
1080,Interchannel
1081,Daedalic Entertainment
1082,"Genki, Kojima Productions"
1083,Warner Bros. Interactive Entertainment
1084,Her Interactive
1085,Nordic Games Publishing
1086,"THQ, Altron"
1087,Netherock Ltd.
1088,Felistella
1089,"Armature Studio, comcept"
1090,Ubisoft Bulgaria
1091,Re-Logic
1092,Two Tribes
1093,Sick Puppies
1094,Firehazard Studio
1095,Nicalis
1096,Tommo
1097,Zerodiv
1098,Liquid Entertainment
1099,Sting
1100,Mix Max
1101,"Sandlot Games, Digital Embryo"
1102,Microvision
1103,Million
1104,Ntreev Soft
1105,Dorasu
1106,Epics
1107,Westwood Studios
1108,FrontLine Studios
1109,Studio 33
1110,Bohemia Interactive
1111,Colossal Order
1112,Flight-Plan
1113,Yacht Club Games
1114,Seven45 Studios
1115,TopWare Interactive
1116,The Fun Pimps Entertainment LLC
1117,Astroll
1118,Next Entertainment
1119,Legacy Interactive
1120,Transmission Games
1121,"K2, Kurogane"
1122,Gaijin Games
1123,Culture Brain
1124,"Beenox, Other Ocean Interactive"
1125,Tripwire Interactive
1126,JV Games Inc.
1127,Top Heavy Studios
1128,Dreamcatcher
1129,DSI Games
1130,"Ubisoft, Moss"
1131,"Atari, Atari SA"
1132,"Pam Development, 2K Sports"
1133,"Microids, Dreamcatcher"
1134,Virtual Air Guitar Company
1135,"Big Blue Bubble Inc., Scholastic, Inc."
1136,"Venan Entertainment, Cashmere Prod."
1137,Sunflowers Interactive
1138,"Rocksteady Studios, Iron Galaxy Studios"
1139,Deck 13
1140,IR Gurus Interactive Ltd.
1141,"Phosphor Games Studio, LLC"
1142,Slam Games
1143,Outrage Games
1144,Platinum Egg
1145,Attention Software
1146,Premium Agency
1147,Syscom
1148,GlyphX Games
1149,ACOT
1150,Axis Entertainment
1151,Hot Lava Games
1152,Nfusion
1153,eV Interactive
1154,Kokolo Corporation
1155,Curly Monsters
1156,Curious Pictures
1157,Psikyo
1158,Tiertex Design Studios
1159,Graffiti Entertainment
1160,Deep Fried Entertainment
1161,Warashi
1162,Beep Industries
1163,I-Imagine
1164,Stormregion
1165,"Mindscape Inc., Mindscape"
1166,Kung Fu Factory
1167,"Game Arts, Japan Art Media (JAM)"
1168,Midway Studios - Newcastle
1169,Infogrames
1170,BIP Games
1171,EM Studios
1172,Acclaim Studios Manchester
1173,"Prope, Kadokawa"
1174,Cosmigo
1175,Zeroscale
1176,Moss
1177,369 Interactive
1178,puzzle.tv
1179,Visual Sciences
1180,Animation Arts
1181,Razorback Developments
1182,"Nippon Ichi Software, Hit Maker"
1183,Tactical Development
1184,"Artificial Studios, Immersion Software & Graphics"
1185,Empire Oxford
1186,Most Wanted Entertainment
1187,"Funatics Software, Funatics"
1188,Microsoft Game Studios Japan
